Id_inflacion,año,mes,Nivel general,Inflación Mensual,Calc Aux,Calc Aux,Inflacion_Acumulada_Anual
1,1943,1,10,Null,Null,,
2,1943,2,10,-0.58,0.9942,,
3,1943,3,10,1.58,1.0158,,
4,1943,4,10,0.66,1.0066,,
5,1943,5,10,-0.87,0.9913,,
6,1943,6,10,0.11,1.0011,,
7,1943,7,9,-5.64,0.9436,,
8,1943,8,9,1.04,1.0104,,
9,1943,9,9,-0.92,0.9908,,
10,1943,10,9,1.04,1.0104,,
11,1943,11,9,0,1,,
12,1943,12,9,-0.32,0.9968,0.960,-4.0%
13,1944,1,9,0.7,1.007,,
14,1944,2,9,0.2,1.002,,
15,1944,3,10,0.64,1.0064,,
16,1944,4,9,-1.12,0.9888,,
17,1944,5,9,-0.41,0.9959,,
18,1944,6,10,1.82,1.0182,,
19,1944,7,10,-0.09,0.9991,,
20,1944,8,10,1.42,1.0142,,
21,1944,9,10,-0.2,0.998,,
22,1944,10,10,0.68,1.0068,,
23,1944,11,10,0,1,,
24,1944,12,10,0.2,1.002,1.039,3.9%
25,1945,1,11,7.79,1.0779,,
26,1945,2,11,1.91,1.0191,,
27,1945,3,12,7.45,1.0745,,
28,1945,4,12,0.09,1.0009,,
29,1945,5,12,0.35,1.0035,,
30,1945,6,12,0.05,1.0005,,
31,1945,7,12,1.17,1.0117,,
32,1945,8,12,-0.9,0.991,,
33,1945,9,12,0.58,1.0058,,
34,1945,10,12,0.08,1.0008,,
35,1945,11,12,0.18,1.0018,,
36,1945,12,12,2.2,1.022,1.226,22.6%
37,1946,1,13,7.02,1.0702,,
38,1946,2,13,0.15,1.0015,,
39,1946,3,13,2.93,1.0293,,
40,1946,4,13,1.73,1.0173,,
41,1946,5,13,-0.27,0.9973,,
42,1946,6,14,1.7,1.017,,
43,1946,7,14,0.22,1.0022,,
44,1946,8,14,-0.7,0.993,,
45,1946,9,14,0.14,1.0014,,
46,1946,10,14,2.47,1.0247,,
47,1946,11,14,0.43,1.0043,,
48,1946,12,14,1.71,1.0171,1.187,18.7%
49,1947,1,14,-0.86,0.9914,,
50,1947,2,14,0.68,1.0068,,
51,1947,3,15,6.11,1.0611,,
52,1947,4,15,0.06,1.0006,,
53,1947,5,15,0.11,1.0011,,
54,1947,6,16,4.67,1.0467,,
55,1947,7,16,-1.1,0.989,,
56,1947,8,16,0.92,1.0092,,
57,1947,9,16,0.12,1.0012,,
58,1947,10,16,-0.55,0.9945,,
59,1947,11,16,0.93,1.0093,,
60,1947,12,16,3.17,1.0317,1.149,14.9%
61,1948,1,16,-1.61,0.9839,,
62,1948,2,16,-0.29,0.9971,,
63,1948,3,16,1.81,1.0181,,
64,1948,4,16,0.59,1.0059,,
65,1948,5,17,2.47,1.0247,,
66,1948,6,17,2.86,1.0286,,
67,1948,7,17,-0.22,0.9978,,
68,1948,8,18,2.06,1.0206,,
69,1948,9,18,4.1,1.041,,
70,1948,10,18,0.31,1.0031,,
71,1948,11,18,0.22,1.0022,,
72,1948,12,19,5.33,1.0533,1.189,18.9%
73,1949,1,20,0.55,1.0055,,
74,1949,2,19,-0.25,0.9975,,
75,1949,3,21,6.82,1.0682,,
76,1949,4,22,4.86,1.0486,,
77,1949,5,22,2.91,1.0291,,
78,1949,6,23,1.17,1.0117,,
79,1949,7,23,1.85,1.0185,,
80,1949,8,24,1.71,1.0171,,
81,1949,9,24,1.57,1.0157,,
82,1949,10,25,2.73,1.0273,,
83,1949,11,25,3.22,1.0322,,
84,1949,12,26,2.43,1.0243,1.337,33.7%
85,1950,1,25,-1.78,0.9822,,
86,1950,2,26,2.6,1.026,,
87,1950,3,26,0.03,1.0003,,
88,1950,4,27,2.17,1.0217,,
89,1950,5,28,4.76,1.0476,,
90,1950,6,29,2.86,1.0286,,
91,1950,7,29,0.03,1.0003,,
92,1950,8,29,0.2,1.002,,
93,1950,9,30,3.96,1.0396,,
94,1950,10,31,3.79,1.0379,,
95,1950,11,31,-0.22,0.9978,,
96,1950,12,32,1.95,1.0195,1.221,22.1%
97,1951,1,31,-0.97,0.9903,,
