Fecha	,	Variacion
1/2/2024 0:00	,	0.356488719
1/3/2024 0:00	,	0.274833808
1/4/2024 0:00	,	0.293075534
1/5/2024 0:00	,	0.569397534
1/8/2024 0:00	,	0.703099586
1/9/2024 0:00	,	0.225059409
1/10/2024 0:00	,	0.213218779
1/11/2024 0:00	,	0.36595942
1/12/2024 0:00	,	0.593773794
1/15/2024 0:00	,	0.335696051
1/16/2024 0:00	,	0.202381629
1/17/2024 0:00	,	0.249499851
1/18/2024 0:00	,	0.338004563
1/19/2024 0:00	,	0.561582267
1/22/2024 0:00	,	0.386714822
1/23/2024 0:00	,	0.223823567
1/24/2024 0:00	,	0.20191973
1/25/2024 0:00	,	0.295332736
1/26/2024 0:00	,	0.627502058
1/29/2024 0:00	,	0.432907068
1/30/2024 0:00	,	0.294336638
1/31/2024 0:00	,	0.286236789
2/1/2024 0:00	,	0.427806882
2/2/2024 0:00	,	0.551418705
2/5/2024 0:00	,	0.269809516
2/6/2024 0:00	,	0.324035267
2/7/2024 0:00	,	0.042316188
2/8/2024 0:00	,	0.45740286
2/9/2024 0:00	,	1.089862378
2/14/2024 0:00	,	0.472934262
2/15/2024 0:00	,	0.399238697
2/16/2024 0:00	,	0.5470145
2/19/2024 0:00	,	0.321991114
2/20/2024 0:00	,	0.33357769
2/21/2024 0:00	,	0.354560708
2/22/2024 0:00	,	0.369383432
2/23/2024 0:00	,	0.678751511
2/26/2024 0:00	,	0.59078172
2/27/2024 0:00	,	0.086628706
2/28/2024 0:00	,	0.293949537
2/29/2024 0:00	,	0.249264699
3/1/2024 0:00	,	0.595912015
3/4/2024 0:00	,	0.4308003
3/5/2024 0:00	,	0.295127268
3/6/2024 0:00	,	0.290723836
3/7/2024 0:00	,	0.384858332
3/8/2024 0:00	,	0.6763368
3/11/2024 0:00	,	0.430288284
3/12/2024 0:00	,	0.331541853
3/13/2024 0:00	,	0.318317567
3/14/2024 0:00	,	0.302514596
3/15/2024 0:00	,	0.632027394
3/18/2024 0:00	,	0.407610244
3/19/2024 0:00	,	0.325102021
3/20/2024 0:00	,	0.243442892
3/21/2024 0:00	,	0.242414446
3/22/2024 0:00	,	0.503763062
3/25/2024 0:00	,	0.281327761
3/26/2024 0:00	,	0.322601856
3/27/2024 0:00	,	0.688104577
